,Unnamed: 0,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Solar Array Size,Solar CapEx,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Solar,Yearly Cost Wind,Elec Cost Solar,Elec Cost Wind,Cheaper source,Yearly gen. cost,Gen. cost per kg H2
4483,4483,74.0,19.0,1632.280044555664,97.25524,3359,72.9428135121114,18.946235,111.48993478733813 km,162552.6,1783.0566335118715,1248139.64345831,305.53634750711217,1.5876167625338922,4000794.2415854083,135646.29253740795,430773.3126419676,46.60667487182735,148.0092920359581,Solar,241918665.50831813,4.838373310166363
4484,4484,74.0,20.0,1646.880030632019,162.54547,3359,72.9428135121114,18.946235,161.0169442306383 km,220868.2,1767.2494092220516,1237074.5864554362,510.6516544263001,0.9499129644662301,2393780.6704549,134443.75565219516,267095.43081354606,46.19349553177988,91.77125058721839,Solar,241917462.9714329,4.838349259428658
4485,4485,74.0,21.0,1656.370038986206,199.80203,3046,72.59684585701538,21.08874,146.17342220905215 km,190078.5,1757.1241284800053,1229986.8899360038,627.6965896203276,0.7727851877593869,1947418.673153655,133673.4734481724,221632.47545370113,45.92883446680795,76.15064541229732,Solar,241916692.6892289,4.838333853784578
4486,4486,74.0,22.0,1643.5949206352234,116.38252,2109,72.53583346922838,21.63689522971426,156.6318625132331 km,189143.3,1770.7816717206622,1239547.1702044636,365.62646983826727,1.3266945007571294,3343270.1419079658,134712.47303514322,363803.0307353666,46.28582406848511,124.99899004753624,Solar,241917731.68881586,4.8383546337763175
4487,4487,74.0,23.0,1679.364938735962,120.268486,2109,72.53583346922838,21.63689522971426,213.39781312943157 km,276835.2,1733.0645019805459,1213145.151386382,377.8345920759669,1.2838279952094571,3235246.5479278318,131843.13386548703,352800.58908347477,45.299948558910934,121.21866394150159,Solar,241914862.34964618,4.838297246992924
4488,4488,74.0,24.0,1703.454933166504,82.43111,2109,72.53583346922838,21.63689522971426,301.78100734195374 km,393734.1,1708.5557736381563,1195989.0415467094,258.96496960325214,1.873128352490421,4720283.448275861,129978.62879482994,504054.8775678066,44.65932373976209,173.18808613868228,Solar,241912997.84457552,4.838259956891511
4489,4489,74.0,25.0,1753.8249373435974,65.73852,2109,72.53583346922838,21.63689522971426,401.42573221791895 km,499259.9,1659.4859037654537,1161640.1326358176,206.52365148986564,2.348760654609454,5918876.849615824,126245.63131262695,626134.2629751348,43.3767040920308,215.13331086837965,Solar,241909264.84709334,4.838185296941867
4490,4490,74.0,26.0,1735.9400153160095,128.50554,28191,72.41667516000001,21.6874756985,504.1203391010979 km,620092.9,1676.5831396911567,1173608.1977838096,403.7120604095893,1.2015361304131844,3027871.048641225,127546.30602052514,331678.9364253302,43.8236025814112,113.96148072049807,Solar,241910565.52180123,4.838211310436025
4491,4491,74.0,27.0,1716.2300515174866,84.9936,3482,70.21597600368719,23.014665,583.6889305953172 km,715711.8,1695.8377803841734,1187086.4462689213,267.01526936214947,1.8166550101214287,4577970.625506001,129011.10560964611,489560.00222483865,44.32689269664764,168.20779563622662,Solar,241912030.32139036,4.838240606427807
4492,4492,74.0,28.0,1667.6849150657654,80.34257,3482,70.21597600368719,23.014665,670.4959780173459 km,904548.7,1745.2024269699987,1221641.698878999,252.4036276825237,1.921821137514728,4842989.266537115,132766.5282731417,516552.73619316734,45.617217406669205,177.48222217919084,Solar,241915785.74405384,4.838315714881077
4493,4493,74.0,29.0,1602.714924812317,58.36651,3482,70.21597600368719,23.014665,763.5352022147447 km,1009039.3,1815.9484984735216,1271163.9489314652,183.36379903167517,2.6454219940211723,6666463.424933354,138148.54594475,702277.6069577598,47.46642347845256,241.29538290343544,Solar,241921167.76172546,4.838423355234509
4494,4494,74.0,30.0,1556.359977722168,68.64659,3482,70.21597600368719,23.014665,860.7946676417677 km,1104804.9,1870.0350836916634,1309024.5585841644,215.65962283799058,2.249260294914236,5668135.943183875,142263.19077596848,600595.7478127218,48.88017324097379,206.3585389920634,Solar,241925282.40655667,4.838505648131133
4495,4495,74.0,31.0,1515.844955444336,51.708122,3482,70.21597600368719,23.014665,960.9998741219487 km,4069490.5,1920.0167871660049,1344011.7510162033,162.44585620612477,2.986069563080567,7524895.298963029,146065.55613193873,789710.7894518786,50.18662697866613,271.336527657825,Solar,241929084.77191263,4.838581695438252
4496,4496,74.0,32.0,1495.0400710105896,54.47586,3482,70.21597600368719,23.014665,1063.3238943851152 km,3867442.4,1946.7356210905298,1362714.9347633708,171.14096157398606,2.8343572596789968,7142580.294391071,148098.19530596552,750771.1617699919,50.88502095128047,257.9572709671254,Solar,241931117.41108668,4.838622348221733
4497,4497,74.0,33.0,1511.464924812317,26.99103,6933,67.3039209812252,24.773734166666664,1120.8983773927187 km,1314119.3,1925.5807484619127,1347906.5239233389,84.79482156082172,5.720568991559665,14415833.858730355,146488.8352961709,1491568.1026288008,50.33206135817154,512.4875019288701,Solar,241929508.0510769,4.838590161021537
4498,4498,74.0,36.0,1446.4950215816498,80.197815,6933,67.3039209812252,24.773734166666664,1400.0928537831285 km,1904773.0,2012.068978994232,1408448.2852959626,251.9488664379533,1.9252899753971686,4851730.738000865,153068.44000380326,517443.07437011483,52.592746052588815,177.7881332451164,Solar,241936087.65578452,4.83872175311569
4499,4499,74.0,38.0,1965.8900570869448,183.90869,6933,67.3039209812252,24.773734166666664,1597.6061936689255 km,2442830.4,1480.4733106523415,1036331.317456639,577.7661894353228,0.8395690778301811,2115714.0761320563,112627.2222745051,238773.73398183353,38.69755842252226,82.04020603478384,Solar,241895646.43805522,4.837912928761105
4500,4500,74.0,41.0,1440.290036201477,504.0121,6933,67.3039209812252,24.773734166666664,1903.945543273091 km,2931966.2,2020.7372737715013,1414516.091640051,1583.4007106803642,0.30634988578301325,772001.7121731933,153727.8817888026,101913.6616896461,52.8193234864091,35.01648888823738,Wind,241884932.87747034,4.8376986575494065
4501,4501,74.0,43.0,1431.529974937439,48.623405,5952,66.69849430950143,25.036485,2101.5006651047465 km,2902873.4,2033.1029123726332,1423172.0386608432,152.7549319405212,3.1755087754190945,8002282.114056118,154668.59954256078,838333.6910321588,53.142544458213195,288.0428579443828,Solar,241937687.81532326,4.838753756306465
4502,4502,74.0,44.0,1491.025013923645,339.82556,5952,66.69849430950143,25.036485,2205.6615083018837 km,2965791.5,1951.9778233197858,1366384.47632385,1067.5934827980373,0.45436267144901255,1144993.9320515117,148496.99660243886,139903.74315810308,51.022044986478996,48.069491238937985,Wind,241922922.9589388,4.838458459178776
4503,4503,74.0,45.0,1491.3899874687197,193.81917,5952,66.69849430950143,25.036485,2310.46280644017 km,3101552.1,1951.5001345381322,1366050.0941766927,608.9008805968713,0.7966397197359614,2007532.0937346227,148460.65635894903,227755.16011978773,51.00955885153633,78.25433706679887,Solar,241931479.87213966,4.838629597442793
4504,4504,74.0,49.0,1324.2200076580048,277.03317,7131,73.67491895779033,68.50547166666666,2172.709113777802 km,3245704.2,2197.8581688562485,1538500.718199374,870.3253716726922,0.5573485993329127,1404518.47031894,167202.37962448402,166336.89062444895,57.44902274277143,57.151649599169644,Wind,241949356.10640517,4.838987122128104
4505,4505,74.0,50.0,1278.9599812030792,199.5642,7131,73.67491895779033,68.50547166666666,2061.4919820938535 km,3141491.6,2275.636301345613,1592945.410941929,626.9494246395242,0.7737061520465929,1949739.503157414,173119.36235760446,221868.85711588702,59.48203732286923,76.23186372699708,Solar,241956138.57813832,4.839122771562766
4506,4506,74.0,51.0,1260.345025062561,240.91812,7131,73.67491895779033,68.50547166666666,1950.255829668007 km,3215696.8,2309.2468358412893,1616472.7850889026,756.8665959086642,0.6408984482705439,1615064.0896417706,175676.2886541964,187781.42701051745,60.360570973493125,64.51977235745984,Solar,241958695.5044349,4.839173910088698
4507,4507,74.0,52.0,1242.0950424671173,321.20398,7131,73.67491895779033,68.50547166666666,1839.0008269289324 km,3089540.7,2343.1763767554685,1640223.463728828,1009.092063871803,0.48070403507533327,1211374.1683898398,178257.48341043913,146664.7168513646,61.247443017945756,50.392492456622705,Wind,241929683.93263206,4.838593678652641
4508,4508,74.0,54.0,1188.075041770935,262.59372,7131,73.67491895779033,68.50547166666666,1616.4351321612544 km,2695201.2,2449.717112864975,1714801.9790054827,824.9625016308153,0.5879959706129173,1481749.8459445515,186362.58539421452,174203.0768223679,64.03227293031986,59.85439049794179,Wind,241957222.29260308,4.839144445852061
4509,4509,74.0,55.0,1152.3050236701963,293.98926,7131,73.67491895779033,68.50547166666666,1505.1249743733783 km,2610650.7,2525.761583442541,1768033.1084097787,923.5944994502996,0.5252030270366226,1323511.6281322888,192147.67954543073,158086.16481795014,66.01997194637876,54.31678483488543,Wind,241941105.38059866,4.838822107611973
4510,4510,74.0,56.0,1154.8600125312803,258.87952,7131,73.67491895779033,68.50547166666666,1393.7970488607932 km,2648898.2,2520.1736397598215,1764121.547831875,813.2939981968519,0.5964320749214023,1503008.8288019337,191722.57591763634,176368.35118372578,65.87391069990582,60.598356560562195,Wind,241959387.56696442,4.8391877513392885
4511,4511,74.0,57.0,1143.5449624061584,141.14668,7131,73.67491895779033,68.50547166666666,1282.45176447321 km,2347961.9,2545.1100366618657,1781577.025663306,443.42537296658946,1.0939261856407578,2756693.9878147095,193619.61593612496,304058.95379797975,66.5257141934378,104.47153797161356,Solar,241976638.83171684,4.839532776634337
4512,4512,75.0,13.0,1528.6200737953186,29.476505,3051,74.82923311984689,12.95502,19.18389369633271 km,25301.2,1903.9706537202894,1332779.4576042027,92.6031715615028,5.238207489940096,13200282.87464904,144844.84419796904,1367761.5499629646,49.76720287827654,469.9488402436853,Solar,241927864.05997866,4.838557281199574
4513,4513,75.0,14.0,1588.8450598716736,135.54291,3051,74.82923311984689,12.95502,117.08011375268559 km,168863.6,1831.8008688834002,1282260.6082183803,425.8206103021825,1.1391525330853283,2870664.383375027,139354.51732760758,315667.0903262463,47.88078287666517,108.45997462491539,Solar,241922373.7331083,4.838447474662166
4514,4514,75.0,15.0,1597.9699206352234,110.2599,2185,74.08313077906908,14.83035902492702,100.4182848783287 km,141150.8,1821.3407671885786,1274938.5370320051,346.39169182554525,1.4003644957800312,3528918.529365679,138558.76357094076,382711.7290623908,47.60737004745145,131.49582485733427,Solar,241921577.97935164,4.838431559587033
4515,4515,75.0,16.0,1608.190050125122,144.49023,2102,73.78624695818871,15.426535299047828,144.74740954474873 km,193061.8,1809.7660540603322,1266836.2378422325,453.92944508349956,1.0686123848529874,2692903.2098295284,137678.2155874825,297561.72215764184,47.30482279159655,102.2391558182667,Solar,241920697.4313682,4.838413948627364
4516,4516,75.0,17.0,1586.655044555664,142.18996,3341,73.21415289053436,17.298975,192.87438531627367 km,275970.4,1834.3292520833274,1284030.4764583292,446.70293375022663,1.0858998010004126,2736467.4985210397,139546.86444700812,301998.84118668165,47.946871374100226,103.76370440773165,Solar,241922566.0802277,4.838451321604554
4517,4517,75.0,18.0,1601.984977722168,106.414894,3341,73.21415289053436,17.298975,204.7662735628902 km,324839.9,1816.7759383938421,1271743.1568756895,334.3122492229366,1.4509627690674263,3656426.178049914,138211.49355694547,395698.66472272645,47.488051632386394,135.9580027508855,Solar,241921230.70933765,4.838424614186753
4518,4518,75.0,19.0,1604.9049401283264,148.63713,3359,72.9428135121114,18.946235,216.7205473587758 km,269544.5,1813.4704981101956,1269429.348677137,466.9573156586711,1.0387986451854705,2617772.585867386,137960.03170696634,289909.5021568361,47.40165191982946,99.60993151029754,Solar,241920979.24748766,4.8384195849497535
4519,4519,75.0,20.0,1602.714924812317,67.68207,3359,72.9428135121114,18.946235,245.4681095783584 km,328502.4,1815.9484984735216,1271163.9489314652,212.62949389175014,2.2813139324529623,5748911.1097814655,138148.54594475,608822.8769487443,47.46642347845256,209.18529618238907,Solar,241921167.76172546,4.838423355234509
4520,4520,75.0,21.0,1604.9049401283264,53.947353,3046,72.59684585701538,21.08874,249.97374778977857 km,297633.7,1813.4704981101956,1269429.348677137,169.48060786541532,2.862124658243318,7212554.138773162,137960.03170696634,757898.1523801553,47.40165191982946,260.406031843438,Solar,241920979.24748766,4.8384195849497535
4521,4521,75.0,22.0,1615.125069618225,85.3357,2109,72.53583346922838,21.63689522971426,257.9273190479447 km,340501.5,1801.9952856542475,1261396.6999579733,268.09000820894255,1.8093722705533164,4559618.121794357,137087.0532516143,487690.7591843727,47.10170547619568,167.56554289924603,Solar,241920106.26903233,4.838402125380647
4522,4522,75.0,23.0,1645.784935951233,83.371376,2109,72.53583346922838,21.63689522971426,295.35469241907515 km,385614.7,1768.4253255798853,1237897.7279059198,261.9189023612724,1.8520031295663955,4667047.8865073165,134533.2136600208,498632.718013739,46.22423238575074,171.3250877277975,Solar,241917552.42944074,4.838351048588815
4523,4523,75.0,24.0,1680.0950598716736,128.43849,2109,72.53583346922838,21.63689522971426,363.95303042335377 km,463386.0,1732.3113618442108,1212617.9532909475,403.5014166221661,1.2021633800604217,3029451.7177522625,131785.8386201567,331839.9310657079,45.28026250025897,114.01679682770477,Solar,241914805.05440086,4.838296101088018
